epoch,avg_loss,test_mse,epoch_time_s,wall_time_s,lr
404,0.03115761,0.03096668,0.171,73.020,0.001408
405,0.03119841,0.03098365,0.172,73.199,0.001408
406,0.03117792,0.03146356,0.171,73.378,0.001407
407,0.03139159,0.03127695,0.171,73.556,0.001407
408,0.03176617,0.03186232,0.171,73.735,0.001406
409,0.03221775,0.03135124,0.172,73.914,0.001406
410,0.03162749,0.03132073,0.171,74.093,0.001405
411,0.03145784,0.03118202,0.173,74.274,0.001405
412,0.03155680,0.03158603,0.171,74.452,0.001405
413,0.03174467,0.03100434,0.171,74.631,0.001404
414,0.03137380,0.03123152,0.172,74.809,0.001404
415,0.03126631,0.03116507,0.172,74.988,0.001403
416,0.03119350,0.03089295,0.172,75.168,0.001403
417,0.03124787,0.03096215,0.172,75.348,0.001402
418,0.03095682,0.03070915,0.172,75.527,0.001402
419,0.03083952,0.03073549,0.172,75.706,0.001401
420,0.03078359,0.03071474,0.171,75.884,0.001401
421,0.03101847,0.03092588,0.171,76.063,0.001400
422,0.03101362,0.03095340,0.173,76.243,0.001400
423,0.03105321,0.03078205,0.172,76.422,0.001399
424,0.03090259,0.03052169,0.171,76.601,0.001399
425,0.03060551,0.03041458,0.171,76.779,0.001399
426,0.03057074,0.03039707,0.172,76.962,0.001398
427,0.03067200,0.03054875,0.172,77.144,0.001398
428,0.03057269,0.03059888,0.172,77.324,0.001397
429,0.03080575,0.03076856,0.172,77.503,0.001397
430,0.03064250,0.03049791,0.171,77.681,0.001396
431,0.03047783,0.03039051,0.172,77.860,0.001396
432,0.03033507,0.03043543,0.172,78.043,0.001395
433,0.03044620,0.03021368,0.172,78.223,0.001395
434,0.03047541,0.03036616,0.172,78.406,0.001394
435,0.03059820,0.03051976,0.172,78.585,0.001394
436,0.03050616,0.03039077,0.171,78.764,0.001393
437,0.03060821,0.03077184,0.172,78.943,0.001393
438,0.03090958,0.03107245,0.172,79.122,0.001392
439,0.03061784,0.03081777,0.172,79.302,0.001392
440,0.03057718,0.03052625,0.172,79.481,0.001391
441,0.03052628,0.03037455,0.171,79.660,0.001391
442,0.03050537,0.03048061,0.172,79.839,0.001390
443,0.03048234,0.03025611,0.172,80.017,0.001390
444,0.03060269,0.03066799,0.171,80.196,0.001389
445,0.03069462,0.03031718,0.171,80.375,0.001389
446,0.03065458,0.03072622,0.171,80.553,0.001388
447,0.03113106,0.03067919,0.172,80.733,0.001388
448,0.03104074,0.03056634,0.172,80.912,0.001387
449,0.03078639,0.03057207,0.171,81.090,0.001387
450,0.03062636,0.03045892,0.172,81.269,0.001386
451,0.03042491,0.03019409,0.172,81.448,0.001386
452,0.03031161,0.03034049,0.172,81.631,0.001385
453,0.03035307,0.03009971,0.172,81.810,0.001385
454,0.03042077,0.03031666,0.173,81.993,0.001384
455,0.03048711,0.03041587,0.179,82.179,0.001384
456,0.03053469,0.03026294,0.173,82.359,0.001383
457,0.03040006,0.03014315,0.172,82.539,0.001383
458,0.03029011,0.03037057,0.172,82.718,0.001382
459,0.03023848,0.03002990,0.172,82.897,0.001382
460,0.03013807,0.03019138,0.172,83.080,0.001381
461,0.03034018,0.03019774,0.173,83.260,0.001381
462,0.03021407,0.03005319,0.170,83.437,0.001380
463,0.03005404,0.03002866,0.172,83.616,0.001380
464,0.03148777,0.03175801,0.173,83.800,0.001379
465,0.03114676,0.03033860,0.172,83.979,0.001379
466,0.03076074,0.03087727,0.172,84.158,0.001378
467,0.03106405,0.03100266,0.172,84.337,0.001378
468,0.03096457,0.03071528,0.178,84.522,0.001377
469,0.03093977,0.03070684,0.171,84.700,0.001377
470,0.03110482,0.03131334,0.172,84.880,0.001376
471,0.03129913,0.03061728,0.171,85.058,0.001376
472,0.03075818,0.03046632,0.172,85.238,0.001375
473,0.03052673,0.03042555,0.171,85.417,0.001375
474,0.03079102,0.03044931,0.171,85.595,0.001374
475,0.03063010,0.03049060,0.172,85.774,0.001374
476,0.03063597,0.03044177,0.171,85.953,0.001373
477,0.03072477,0.03097433,0.172,86.132,0.001373
478,0.03080484,0.03036130,0.171,86.311,0.001372
479,0.03052943,0.03026051,0.171,86.490,0.001372
480,0.03040139,0.03027584,0.171,86.668,0.001371
481,0.03041559,0.03078693,0.172,86.847,0.001371
482,0.03074854,0.03052958,0.172,87.026,0.001370
483,0.03057794,0.03077191,0.173,87.206,0.001369
484,0.03069981,0.03042529,0.171,87.385,0.001369
485,0.03045557,0.03055930,0.171,87.564,0.001368
486,0.03038132,0.03058110,0.170,87.741,0.001368
487,0.03034024,0.03047993,0.172,87.920,0.001367
488,0.03048183,0.03060215,0.172,88.100,0.001367
489,0.03066048,0.03077631,0.172,88.279,0.001366
490,0.03067247,0.03059165,0.172,88.458,0.001366
491,0.03052360,0.03039255,0.171,88.637,0.001365
492,0.03017925,0.02999343,0.171,88.815,0.001365
493,0.03019984,0.03019450,0.172,88.998,0.001364
494,0.03026601,0.03037146,0.172,89.177,0.001364
495,0.03028487,0.03008974,0.172,89.356,0.001363
